Extended        

           variable  correlation        p_value
20      lab_std_value_50809    -0.000472   9.762754e-01
2                   hadm_id    -0.004906   7.574026e-01
26      lab_std_value_50912     0.005929   7.089390e-01
0                subject_id     0.009687   5.419407e-01
3      lab_mean_value_50809     0.011024   4.876650e-01
43   vital_std_value_220180    -0.011185   4.813001e-01
31      lab_std_value_51221    -0.012063   4.475708e-01
4      lab_mean_value_50811     0.013673   3.893404e-01
33      lab_std_value_51265     0.015243   3.372022e-01
32      lab_std_value_51222    -0.018951   2.327919e-01
44   vital_std_value_220210     0.020683   1.928277e-01
34      lab_std_value_51279    -0.020866   1.889227e-01
39  vital_mean_value_220180    -0.026144   9.972428e-02
36      lab_std_value_51478     0.028144   7.636354e-02
24      lab_std_value_50882     0.030004   5.884210e-02
49     gcs_std_value_223900    -0.031828   4.503742e-02
21      lab_std_value_50811     0.033129   3.695491e-02
19     lab_mean_value_51478    -0.034458   3.000786e-02
35      lab_std_value_51301     0.041668   8.679629e-03
22      lab_std_value_50813     0.042293   7.726581e-03
8      lab_mean_value_50902     0.044470   5.093625e-03
28      lab_std_value_50971     0.046057   3.718624e-03
30      lab_std_value_51003     0.048000   2.497418e-03
13     lab_mean_value_51003     0.049476   1.828541e-03
48     gcs_std_value_220739     0.050562   1.446324e-03
27      lab_std_value_50931     0.054314   6.218193e-04
11     lab_mean_value_50971     0.065934   3.245797e-05
16     lab_mean_value_51265    -0.072720   4.555858e-06
12     lab_mean_value_50983     0.075858   1.729941e-06
23      lab_std_value_50868     0.077136   1.153546e-06
25      lab_std_value_50902     0.084890   8.601192e-08
9      lab_mean_value_50912     0.099640   3.202346e-10
1                       age     0.102118   1.149805e-10
38  vital_mean_value_220179    -0.106125   2.081706e-11
5      lab_mean_value_50813     0.107329   1.230446e-11
14     lab_mean_value_51221    -0.107475   1.153576e-11
40  vital_mean_value_220210     0.109749   4.198383e-12
29      lab_std_value_50983     0.113330   8.190161e-13
15     lab_mean_value_51222    -0.115963   2.383587e-13
17     lab_mean_value_51279    -0.117182   1.332693e-13
42   vital_std_value_220179     0.123329   6.484735e-15
37  vital_mean_value_220045     0.126333   1.399789e-15
18     lab_mean_value_51301     0.126874   1.057848e-15
7      lab_mean_value_50882    -0.128017   5.832038e-16
6      lab_mean_value_50868     0.131797   7.825170e-17
10     lab_mean_value_50931     0.167647   2.166953e-26
50     gcs_std_value_223901     0.179771   3.692452e-30
41   vital_std_value_220045     0.195609   1.683956e-35
46    gcs_mean_value_223900    -0.411594  5.155805e-162
45    gcs_mean_value_220739    -0.457162  4.282939e-204
47    gcs_mean_value_223901    -0.470802  5.415689e-218
51                mortality     1.000000   0.000000e+00

Filtered
                   variable  correlation        p_value
2                   hadm_id    -0.004906   7.574026e-01
0                subject_id     0.009687   5.419407e-01
19   vital_std_value_220180    -0.011185   4.813001e-01
20   vital_std_value_220210     0.020683   1.928277e-01
11      lab_std_value_51279    -0.020866   1.889227e-01
15  vital_mean_value_220180    -0.026144   9.972428e-02
9       lab_std_value_50882     0.030004   5.884210e-02
25     gcs_std_value_223900    -0.031828   4.503742e-02
12      lab_std_value_51301     0.041668   8.679629e-03
5      lab_mean_value_50902     0.044470   5.093625e-03
24     gcs_std_value_220739     0.050562   1.446324e-03
8       lab_std_value_50868     0.077136   1.153546e-06
10      lab_std_value_50902     0.084890   8.601192e-08
1                       age     0.102118   1.149805e-10
14  vital_mean_value_220179    -0.106125   2.081706e-11
16  vital_mean_value_220210     0.109749   4.198383e-12
6      lab_mean_value_51279    -0.117182   1.332693e-13
18   vital_std_value_220179     0.123329   6.484735e-15
13  vital_mean_value_220045     0.126333   1.399789e-15
7      lab_mean_value_51301     0.126874   1.057848e-15
4      lab_mean_value_50882    -0.128017   5.832038e-16
3      lab_mean_value_50868     0.131797   7.825170e-17
26     gcs_std_value_223901     0.179771   3.692452e-30
17   vital_std_value_220045     0.195609   1.683956e-35
22    gcs_mean_value_223900    -0.411594  5.155805e-162
21    gcs_mean_value_220739    -0.457162  4.282939e-204
23    gcs_mean_value_223901    -0.470802  5.415689e-218
27                mortality     1.000000   0.000000e+00
